Date,Year,Month,Month Name,Quarter,Day,Day Name,Week,Is Weekend
2019/01/01,2019,1,Jan,Q1,1,Tuesday,1,FALSE
2019/01/02,2019,1,Jan,Q1,2,Wednesday,1,FALSE
2019/01/03,2019,1,Jan,Q1,3,Thursday,1,FALSE
2019/01/04,2019,1,Jan,Q1,4,Friday,1,FALSE
2019/01/05,2019,1,Jan,Q1,5,Saturday,1,TRUE
2019/01/06,2019,1,Jan,Q1,6,Sunday,2,TRUE
2019/01/07,2019,1,Jan,Q1,7,Monday,2,FALSE
2019/01/08,2019,1,Jan,Q1,8,Tuesday,2,FALSE
2019/01/09,2019,1,Jan,Q1,9,Wednesday,2,FALSE
2019/01/10,2019,1,Jan,Q1,10,Thursday,2,FALSE
2019/01/11,2019,1,Jan,Q1,11,Friday,2,FALSE
2019/01/12,2019,1,Jan,Q1,12,Saturday,2,TRUE
2019/01/13,2019,1,Jan,Q1,13,Sunday,3,TRUE
2019/01/14,2019,1,Jan,Q1,14,Monday,3,FALSE
2019/01/15,2019,1,Jan,Q1,15,Tuesday,3,FALSE
2019/01/16,2019,1,Jan,Q1,16,Wednesday,3,FALSE
2019/01/17,2019,1,Jan,Q1,17,Thursday,3,FALSE
2019/01/18,2019,1,Jan,Q1,18,Friday,3,FALSE
2019/01/19,2019,1,Jan,Q1,19,Saturday,3,TRUE
2019/01/20,2019,1,Jan,Q1,20,Sunday,4,TRUE
2019/01/21,2019,1,Jan,Q1,21,Monday,4,FALSE
2019/01/22,2019,1,Jan,Q1,22,Tuesday,4,FALSE
2019/01/23,2019,1,Jan,Q1,23,Wednesday,4,FALSE
2019/01/24,2019,1,Jan,Q1,24,Thursday,4,FALSE
2019/01/25,2019,1,Jan,Q1,25,Friday,4,FALSE
2019/01/26,2019,1,Jan,Q1,26,Saturday,4,TRUE
2019/01/27,2019,1,Jan,Q1,27,Sunday,5,TRUE
2019/01/28,2019,1,Jan,Q1,28,Monday,5,FALSE
2019/01/29,2019,1,Jan,Q1,29,Tuesday,5,FALSE
2019/01/30,2019,1,Jan,Q1,30,Wednesday,5,FALSE
2019/01/31,2019,1,Jan,Q1,31,Thursday,5,FALSE
2019/02/01,2019,2,Feb,Q1,1,Friday,5,FALSE
2019/02/02,2019,2,Feb,Q1,2,Saturday,5,TRUE
2019/02/03,2019,2,Feb,Q1,3,Sunday,6,TRUE
2019/02/04,2019,2,Feb,Q1,4,Monday,6,FALSE
2019/02/05,2019,2,Feb,Q1,5,Tuesday,6,FALSE
2019/02/06,2019,2,Feb,Q1,6,Wednesday,6,FALSE
2019/02/07,2019,2,Feb,Q1,7,Thursday,6,FALSE
2019/02/08,2019,2,Feb,Q1,8,Friday,6,FALSE
2019/02/09,2019,2,Feb,Q1,9,Saturday,6,TRUE
2019/02/10,2019,2,Feb,Q1,10,Sunday,7,TRUE
2019/02/11,2019,2,Feb,Q1,11,Monday,7,FALSE
2019/02/12,2019,2,Feb,Q1,12,Tuesday,7,FALSE
2019/02/13,2019,2,Feb,Q1,13,Wednesday,7,FALSE
2019/02/14,2019,2,Feb,Q1,14,Thursday,7,FALSE
2019/02/15,2019,2,Feb,Q1,15,Friday,7,FALSE
2019/02/16,2019,2,Feb,Q1,16,Saturday,7,TRUE
2019/02/17,2019,2,Feb,Q1,17,Sunday,8,TRUE
2019/02/18,2019,2,Feb,Q1,18,Monday,8,FALSE
2019/02/19,2019,2,Feb,Q1,19,Tuesday,8,FALSE
2019/02/20,2019,2,Feb,Q1,20,Wednesday,8,FALSE
2019/02/21,2019,2,Feb,Q1,21,Thursday,8,FALSE
2019/02/22,2019,2,Feb,Q1,22,Friday,8,FALSE
2019/02/23,2019,2,Feb,Q1,23,Saturday,8,TRUE
2019/02/24,2019,2,Feb,Q1,24,Sunday,9,TRUE
2019/02/25,2019,2,Feb,Q1,25,Monday,9,FALSE
2019/02/26,2019,2,Feb,Q1,26,Tuesday,9,FALSE
2019/02/27,2019,2,Feb,Q1,27,Wednesday,9,FALSE
2019/02/28,2019,2,Feb,Q1,28,Thursday,9,FALSE
2019/03/01,2019,3,Mar,Q1,1,Friday,9,FALSE
2019/03/02,2019,3,Mar,Q1,2,Saturday,9,TRUE
2019/03/03,2019,3,Mar,Q1,3,Sunday,10,TRUE
2019/03/04,2019,3,Mar,Q1,4,Monday,10,FALSE
2019/03/05,2019,3,Mar,Q1,5,Tuesday,10,FALSE
2019/03/06,2019,3,Mar,Q1,6,Wednesday,10,FALSE
2019/03/07,2019,3,Mar,Q1,7,Thursday,10,FALSE
2019/03/08,2019,3,Mar,Q1,8,Friday,10,FALSE
2019/03/09,2019,3,Mar,Q1,9,Saturday,10,TRUE
2019/03/10,2019,3,Mar,Q1,10,Sunday,11,TRUE
2019/03/11,2019,3,Mar,Q1,11,Monday,11,FALSE
2019/03/12,2019,3,Mar,Q1,12,Tuesday,11,FALSE
2019/03/13,2019,3,Mar,Q1,13,Wednesday,11,FALSE
2019/03/14,2019,3,Mar,Q1,14,Thursday,11,FALSE
2019/03/15,2019,3,Mar,Q1,15,Friday,11,FALSE
2019/03/16,2019,3,Mar,Q1,16,Saturday,11,TRUE
2019/03/17,2019,3,Mar,Q1,17,Sunday,12,TRUE
2019/03/18,2019,3,Mar,Q1,18,Monday,12,FALSE
2019/03/19,2019,3,Mar,Q1,19,Tuesday,12,FALSE
2019/03/20,2019,3,Mar,Q1,20,Wednesday,12,FALSE
2019/03/21,2019,3,Mar,Q1,21,Thursday,12,FALSE
2019/03/22,2019,3,Mar,Q1,22,Friday,12,FALSE
2019/03/23,2019,3,Mar,Q1,23,Saturday,12,TRUE
2019/03/24,2019,3,Mar,Q1,24,Sunday,13,TRUE
2019/03/25,2019,3,Mar,Q1,25,Monday,13,FALSE
2019/03/26,2019,3,Mar,Q1,26,Tuesday,13,FALSE
2019/03/27,2019,3,Mar,Q1,27,Wednesday,13,FALSE
2019/03/28,2019,3,Mar,Q1,28,Thursday,13,FALSE
2019/03/29,2019,3,Mar,Q1,29,Friday,13,FALSE
2019/03/30,2019,3,Mar,Q1,30,Saturday,13,TRUE
2019/03/31,2019,3,Mar,Q1,31,Sunday,14,TRUE
2019/04/01,2019,4,Apr,Q2,1,Monday,14,FALSE
2019/04/02,2019,4,Apr,Q2,2,Tuesday,14,FALSE
2019/04/03,2019,4,Apr,Q2,3,Wednesday,14,FALSE
2019/04/04,2019,4,Apr,Q2,4,Thursday,14,FALSE
2019/04/05,2019,4,Apr,Q2,5,Friday,14,FALSE
2019/04/06,2019,4,Apr,Q2,6,Saturday,14,TRUE
2019/04/07,2019,4,Apr,Q2,7,Sunday,15,TRUE
2019/04/08,2019,4,Apr,Q2,8,Monday,15,FALSE
2019/04/09,2019,4,Apr,Q2,9,Tuesday,15,FALSE
2019/04/10,2019,4,Apr,Q2,10,Wednesday,15,FALSE
2019/04/11,2019,4,Apr,Q2,11,Thursday,15,FALSE
2019/04/12,2019,4,Apr,Q2,12,Friday,15,FALSE
2019/04/13,2019,4,Apr,Q2,13,Saturday,15,TRUE
2019/04/14,2019,4,Apr,Q2,14,Sunday,16,TRUE
2019/04/15,2019,4,Apr,Q2,15,Monday,16,FALSE
2019/04/16,2019,4,Apr,Q2,16,Tuesday,16,FALSE
2019/04/17,2019,4,Apr,Q2,17,Wednesday,16,FALSE
2019/04/18,2019,4,Apr,Q2,18,Thursday,16,FALSE
2019/04/19,2019,4,Apr,Q2,19,Friday,16,FALSE
2019/04/20,2019,4,Apr,Q2,20,Saturday,16,TRUE
2019/04/21,2019,4,Apr,Q2,21,Sunday,17,TRUE
2019/04/22,2019,4,Apr,Q2,22,Monday,17,FALSE
2019/04/23,2019,4,Apr,Q2,23,Tuesday,17,FALSE
2019/04/24,2019,4,Apr,Q2,24,Wednesday,17,FALSE
2019/04/25,2019,4,Apr,Q2,25,Thursday,17,FALSE
2019/04/26,2019,4,Apr,Q2,26,Friday,17,FALSE
2019/04/27,2019,4,Apr,Q2,27,Saturday,17,TRUE
2019/04/28,2019,4,Apr,Q2,28,Sunday,18,TRUE
2019/04/29,2019,4,Apr,Q2,29,Monday,18,FALSE
2019/04/30,2019,4,Apr,Q2,30,Tuesday,18,FALSE
